"","TI","SO","LeadAuthorFirst","LeadAuthorLast","LeadInitOnly","first.gender.manual","first.gender","first.gender.manual.method","EditorFirst","EditorLast","editor.gender.manual","FirstInst2","Editor.Institution"
"768","Do projections from bioclimatic envelope models and climate change metrics match?","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Raquel","vila-cabrera","no","female","female","","Antoine","Guisan","male","University of Copenhagen","University of Lausanne"
"769","Individual and demographic consequences of reduced body condition following repeated exposure to high temperatures","ECOLOGY","Janet","yang","no","female","female","","Gabrielle","Nevitt","female","Monash University","University of California Davis"
"770","What shapes fitness costs of reproduction in long-lived iteroparous species? A case study on the Alpine ibex","ECOLOGY","Alexandre","zheng","no","male",NA,"babynames.com","Heiko","Wittmer","male","Parc National Vanoise","Victoria University of Wellington"
"771","Indirect interactions among tropical tree species through shared rodent seed predators: a novel mechanism of tree species coexistence","ECOLOGY LETTERS","Carol","barrio","yes","female","female","","Marcel","Rejmanek","male","University of Groningen","University of California Davis"
"772","Incompatible Ages for Clearwing Butterflies Based on Alternative Secondary Calibrations","SYSTEMATIC BIOLOGY","Ivonne","rolland","no","female","female","","","",NA,"Middle Tennessee State University",""
"773","How Ecology and Landscape Dynamics Shape Phylogenetic Trees","SYSTEMATIC BIOLOGY","Fanny","simpson","no","female","female","","","Renner",NA,"College de France","University of Missouri Saint Louis"
"774","Mathematical and Computational Evolutionary Biology (2013)","SYSTEMATIC BIOLOGY","Olivier","compagnoni","no","male","male","","",NA,NA,"University Montpellier 5",""
"775","Multilayered Organization of Jasmonate Signalling in the Regulation of Root Growth","PLOS GENETICS","Debora","lehman","no","female","female","","Hao","Yu","male","University of Lausanne","National University of Singapore"
"776","Evolution Is an Experiment: Assessing Parallelism in Crop Domestication and Experimental Evolution","MOLECULAR BIOLOGY AND EVOLUTION","Brandon","leibold","no","male","male","","Sudhir","Kumar","male","","Temple University"
"777","Population Diversity and Adaptive Evolution in Keratinization Genes: Impact of Environment in Shaping Skin Phenotypes","MOLECULAR BIOLOGY AND EVOLUTION","Pramod","matthiopoulos","no",NA,NA,"","Joshua","Akey","male","","University of Washington"
"778","Deciphering the Wisent Demographic and Adaptive Histories from Individual Whole-Genome Sequences","MOLECULAR BIOLOGY AND EVOLUTION","Mathieu","nadeem","no","male",NA,"sheknowns.com","Emma","Teeling","female","","University College Dublin"
"779","Biomes and human distribution during the last ice age","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Alexander","nolting","no","male","male","","",NA,NA,"Ilia State University",""
"780","Functional diversity enhances silver fir growth resilience to an extreme drought","JOURNAL OF ECOLOGY","Antonio","shoemaker","no","male","male","","Lorena","Gomez-Aparicio","female","Instituto Pirenaico de Ecologia","IRNAS-CSIC"
"781","The effect of spatial scale on relative influences of assembly processes in temperate stream fish assemblages","ECOLOGY","Aaron","tyburczy","no","male","male","","Kirk","Winemiller","male","University of Oklahoma","Texas A&M University"
"782","LINE-1 Mediated Insertion into Poc1a (Protein of Centriole 1 A) Causes Growth Insufficiency and Male Infertility in Mice","PLoS Genetics","Krista","xiao","no","female","female","","Marisa","Bartolomei","female","University of Michigan","University of Pennsylvania"
"783","Experimental manipulation of female reproduction demonstrates its fitness costs in kangaroos","JOURNAL OF ANIMAL ECOLOGY","Uriel","dellicour","no","male","male","","Atle","Mysterud",NA,"Universite de Sherbrooke","University of Oslo"
"784","Retinoic Acid Receptors Control Spermatogonia Cell-Fate and Induce Expression of the SALL4A Transcription Factor","PLoS Genetics","Aurore","pante","yes","female","female","","Paula","Cohen","female","","Cornell University"
"785","Staying out of the heat: how habitat use is determined by local temperature","JOURNAL OF ANIMAL ECOLOGY","Martin","lardy","no","male","male","","Graeme","Hays","male","University of Bristol","Deakin University"
"786","How Ebola impacts social dynamics in gorillas: a multistate modelling approach","JOURNAL OF ANIMAL ECOLOGY","Celine","sadeh","no","female","female","","Sonia","Altizer","female","University Rennes 1","University of Georgia"
"787","Evolutionary response of plant interaction traits to nutrient enrichment modifies the assembly and structure of antagonistic-mutualistic communities","JOURNAL OF ECOLOGY","Ewen","sveen","no","male",NA,"wiki","Akiko","Satake","female","Universite Paris 06","Hokkaido University"
"788","Optimal population prediction of sandhill crane recruitment based on climate-mediated habitat limitations","JOURNAL OF ANIMAL ECOLOGY","Brian","christensen","no","male","male","","Brett","Sandercock","either","Colorado State University","Kansas State University"
"789","The effect of repeated, lethal sampling on wild bee abundance and diversity","METHODS IN ECOLOGY AND EVOLUTION","Zachariah","coll","no","male","male","","Jana","Vamosi","female","Dartmouth College","University of Calgary"
"790","Neighboring Genes Show Correlated Evolution in Gene Expression","MOLECULAR BIOLOGY AND EVOLUTION","Avazeh","lloret","no","female",NA,"namepedia.org","Gunter","Wagner","male","University of Bath","Yale University"
"791","Organismal homeostasis buffers the effects of abiotic change oncommunity dynamics","ECOLOGY","Giulia","mccallum","no","female",NA,"babynames.com","Jonathan","Grabowski","male","University of Adelaide","Northeastern University"
"792","Trophic compensation reinforces resistance: herbivory absorbs the increasing effects of multiple disturbances","ECOLOGY LETTERS","Giulia","fernandez-de-una","no","female",NA,"babynames.com","David","Mouillot","male","University of Adelaide","Universite de Montpellier"
"793","Enhanced interannual precipitation variability increases plant functional diversity that in turn ameliorates negative impact on productivity","ECOLOGY LETTERS","Laureano","finegan","no",NA,NA,"","Josep","Penuelas","male","Arizona State University","CREAF Universitat Autonoma Barcelona"
"794","Environment and predation govern fish community assembly in temperate streams","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Xingli","palmquist","no",NA,NA,"","Fabien","Leprieur","male","University of Washington","Universite de Montpellier"
"795","Quantifying variable importance in a multimodel inference framework","METHODS IN ECOLOGY AND EVOLUTION","Xingli","toigo","no",NA,NA,"","Ryan","Chisholm","male","University of Washington","National University of Singapore"
"796","The Challenges of Resolving a Rapid, Recent Radiation: Empirical and Simulated Phylogenomics of Philippine Shrews","SYSTEMATIC BIOLOGY","Thomas","wood","no","male","male","","John","McCormack","male","Louisiana State University","Occidental College"
"797","Shotgun Mitogenomics Provides a Reference Phylogenetic Framework and Timescale for Living Xenarthrans","MOLECULAR BIOLOGY AND EVOLUTION","Gillian","agrawal","no","female","female","","Nicolas","Vidal","male","Universite de Montpellier","Museum National d'Histoire Naturelle"
"798","On the link between functional traits and growth rate: meta-analysis shows effects change with plant size, as predicted","JOURNAL OF ECOLOGY","Anais","delgado-baquerizo","no","female","female","","Scott","Wilson","male","Macquarie University","University of Regina"
"799","Journal of Ecology News: Data Archiving Compliance","JOURNAL OF ECOLOGY","David","weber","no","male","male","","","Editorial",NA,"Southern Illinois University",NA
"800","Journal of Ecology News","JOURNAL OF ECOLOGY","David","braga","no","male","male","","",NA,NA,"Southern Illinois University",""
"801","Linking niche theory to ecological impacts of successful invaders: insights from resource fluctuation-specialist herbivore interactions","JOURNAL OF ANIMAL ECOLOGY","Cindy","swain","no","female","female","","Priyanga","Amarasekare",NA,"","University of California Los Angeles"
"802","Hot spots of mutualistic networks","JOURNAL OF ANIMAL ECOLOGY","Luis","trask","no","male","male","","Karl","Cottenie","male","Estacion Biologica de Donana","University of Guelph"
"803","Continuous Influx of Genetic Material from Host to Virus Populations","PLOS GENETICS","Clement","stevanoni","no","male","male","","Hamit","Malik",NA,"University of Poitiers","Fred Hutchinson Cancer Research Center"
"804","Encountering extreme weather during migration: individual strategies and their consequences","JOURNAL OF ANIMAL ECOLOGY","Jennifer","zhao","no","female","female","","Graeme","Hays","male","","Deakin University"
"805","Understanding Past Population Dynamics: Bayesian Coalescent-Based Modeling with Covariates","SYSTEMATIC BIOLOGY","Mandev","cheng","yes",NA,NA,"","Laura","Kubatko","female","Columbia University","Ohio State University"
"806","Seedling mortality from litterfall increases with decreasing latitude","ECOLOGY","Len","doucet","no","male","male","","Truman","Young","male","Auckland University of Technology","University of California Davis"
"807","Latitude, productivity and species richness","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Len","figliuzzi","no","male","male","","Antoine","Guisan","male","Auckland University of Technology","University of Lausanne"
"808","Migratory diversity predicts population declines in birds","ECOLOGY LETTERS","James","lechner","no","male","male","","Tim","Coulson","either","University of East Anglia","University of Oxford"
"809","Your Data to Explore: An Interview with Anne Wojcicki","PLoS Genetics","Jane","pinheiro","no","female","female","","",NA,NA,"University of California San Francisco",""
"810","Dissociating several forms of commonness in birds sheds new light on biotic homogenization","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Laurent","quintana-rodriguez","no","male","male","","Allen","Hurlbert","male","University of Nantes","University of North Carolina Chapel Hill"
"811","Functional determinants of forest recruitment over broad scales","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Oscar","leempoel","no","male","male","","Ian","Wright","male","University of California Santa Barbara","Macquarie University"
"812","Accounting for shifts in the frequency of suitable environments when testing for niche overlap","Methods in Ecology and Evolution","William","mumby","no","male","male","","Justin","Travis","either","Lincoln University","University of Aberdeen"
"813","Fast and flexible Bayesian species distribution modelling using Gaussian processes","METHODS IN ECOLOGY AND EVOLUTION","Nick","qiao","no","male","male","","David","Warton","male","Center for Ecology and Hydrology","University of New South Wales"
"814","Plant-O-Matic: a dynamic and mobile guide to all plants of the Americas","METHODS IN ECOLOGY AND EVOLUTION","Gregory","koons","no","male","male","","Robert","Freckleton","male","Paul Scherrer Institute","University of Sheffield"
"815","Is diversification rate related to climatic niche width?","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Carola","tate","no","female","female","","Marcel","Cardillo","male","University Santiago de Compostela","Australian National University"
"816","Validating the power of mitochondrial metagenomics for community ecology and phylogenetics of complex assemblages","METHODS IN ECOLOGY AND EVOLUTION","Carola","aiba","no","female","female","","M","Gilbert",NA,"Natural History Museum",""
"817","Genome-Wide Interaction Analyses between Genetic Variants and Alcohol Consumption and Smoking for Risk of Colorectal Cancer","PLOS GENETICS","Jian","alonso","no","male",NA,"babynames.com","Scott","Williams","male","Fred Hutchinson Cancer Research Center","Case Western Reserve University School of Medicine"
"818","General validation of formalin-preserved fish samples in food web studies using stable isotopes","METHODS IN ECOLOGY AND EVOLUTION","Ivan","azaele","no","male","male","","Carolyn","Kurle","female","Aarhus University","University of California San Diego"
"819","Within- and trans-generational effects of herbivores and detritivores on plant performance and reproduction","JOURNAL OF ANIMAL ECOLOGY","Adela","bagchi","no","female","female","","Ben","Woodcock","male","Universidad De Granada","Centre for Ecology and Hydrology"
"820","Beyond climate: disturbance niche shifts in invasive species","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Pablo","barabas","no","male","male","","Niklaus","Zimmermann","male","Estation Biological Donana","Swiss Federal Research Institute"
"821","Estimating local biodiversity change: a critique of papers claiming no net loss of local diversity","ECOLOGY","Andrew","barros","no","male","male","","Helmut","Hillebrand","male","McGill University","University of Oldenburg"
"822","The macroecology of phylogenetically structured hummingbird-plant networks","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Ana","bellier","no","female","female","","Allen","Hurlbert","male","Pacific Ecoinformatics and Computational Ecology Lab","University of North Carolina Chapel Hill"
"823","Inverse estimation of integral projection model parameters using time series of population-level data","METHODS IN ECOLOGY AND EVOLUTION","Edgar","bennett","no","male","male","","Sean","McMahon","either","McMaster University","Smithsonian Environmental Research Center"
"824","Are strong fire-vegetation feedbacks needed to explain the spatial distribution of tropical tree cover?","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Peter","boakes","no","male","male","","Ben","Poulter","male","","Montana State University"
"825","Soil processes drive seasonal variation in retention of N-15 tracers in a deciduous forest catchment","ECOLOGY","Christine","bonduriansky","no","female","female","","Serita","Frey","female","Cornell University","University of New Hampshire"
"826","The minimum founding population in dispersing organisms subject to strong Allee effects","METHODS IN ECOLOGY AND EVOLUTION","DevinW.","brandt","no",NA,NA,"","Oscar","Gaggiotti","male","University of Alberta","University of St. Andrews"
"827","Likelihood-Based Parameter Estimation for High-Dimensional Phylogenetic Comparative Models: Overcoming the Limitations of ""Distance-Based"" Methods","SYSTEMATIC BIOLOGY","Eric","brownlee","no","male","male","","Luke","Harmon","male","Harvard University","University of Idaho"
"828","Phylogenetic Comparative Methods for Evaluating the Evolutionary History of Function-Valued Traits","SYSTEMATIC BIOLOGY","Eric","buckley","no","male","male","","Luke","Harmon","male","University of Georgia","University of Idaho"
"829","An examination of index-calibration experiments: counting tigers at macroecological scales","METHODS IN ECOLOGY AND EVOLUTION","Arjun","julio camarero","yes","male",NA,"babynames.com","Nigel","Yoccoz","male","University of Oxford","University of Tromso"
"830","An examination of index-calibration experiments: counting tigers at macroecological scales (vol 6, pg 1055, 2015)","METHODS IN ECOLOGY AND EVOLUTION","A.","chambert","no",NA,NA,"","",NA,NA,"",""
"831","Colour polymorphism torn apart by opposing positive frequency-dependent selection, yet maintained in space","JOURNAL OF ANIMAL ECOLOGY","Swanne","chambert","no",NA,NA,"","Stewart","Plaistow","male","University of Jyvaskyla","University of Liverpool"
"832","The Root of Flowering Plants and Total Evidence","SYSTEMATIC BIOLOGY","V.","chao","no",NA,NA,"","Edward","Susko","male","","Dalhousie University"
"833","Context-dependent survival, fecundity and predicted population-level consequences of brucellosis in African buffalo","JOURNAL OF ANIMAL ECOLOGY","Erin","chen","no","either","either","","Andrew","Fenton","male","Oregon State University","University of Liverpool"
"834","Transcriptomes of Plant Gametophytes Have a Higher Proportion of Rapidly Evolving and Young Genes than Sporophytes","MOLECULAR BIOLOGY AND EVOLUTION","Toni","christin","no","female","female","","Stephen","Wright","male","University of Hohenheim","University of Toronto"
"835","Effects of management on aquatic tree-hole communities in temperate forests are mediated by detritus amount and water chemistry","JOURNAL OF ANIMAL ECOLOGY","Martin","cole","no","male","male","","Simon","Butler","male","Technological University of Munich","University of East Anglia "
"836","Life in the treetops: ecophysiological strategies of canopy epiphytes in a tropical montane cloud forest","ECOLOGICAL MONOGRAPHS","Sybil","coux","no","female","female","","Samantha","Chapman","female","Franklin and Marshall College","Villanova University"
"837","Plant diversity and root traits benefit physical properties key to soil function in grasslands","ECOLOGY LETTERS","Iain","dahl","no","male","male","","Eric","Seabloom","male","University of Lancaster","University of Minnesota"
"838","Maintenance and Loss of Duplicated Genes by Dosage Subfunctionalization","MOLECULAR BIOLOGY AND EVOLUTION","Jean-Francois","dapporto","no","male","male","","Jianzhi","Zhang",NA,"Indiana University","University of Michigan"
"839","Eco-evolutionary partitioning metrics: assessing the importance of ecological and evolutionary contributions to population and community change","ECOLOGY LETTERS","Lynn","de voer","no","either","either","","Tim","Coulson","either","Katholieke University Leuven","University of Oxford"
"840","Contrasting effects of nutrient enrichment on below-ground biomass in coastal wetlands","JOURNAL OF ECOLOGY","Sean","deblauwe","yes","either","either","","Brian","Silliman","male","Louisiana State University","Duke University"
"841","Genome Wide Identification of SARS-CoV Susceptibility Loci Using the Collaborative Cross","PLOS GENETICS","Lisa","dixon","no","female","female","","Jean-Jacques","Panthier","male","University of North Carolina Chapel Hill","Institut Pasteur"
"842","Allele surfing promotes microbial adaptation from standing variation","ECOLOGY LETTERS","Matti","firman","no","female","female","","Bernd","Blasius","male","University of California Berkeley","University of Oldenburg"
"843","Mapping diversity indices: not a trivial issue","METHODS IN ECOLOGY AND EVOLUTION","Victoria","fouchet","no","female","female","","Pedro","Peres-Neto","male","Universite de Montpellier","Concordia University Montreal"
"844","Testing Classical Species Properties with Contemporary Data: How ""Bad Species"" in the Brassy Ringlets (Erebia tyndarus complex, Lepidoptera) Turned Good","SYSTEMATIC BIOLOGY","Paolo","ghedini","no","male","male","","Brian","Wiegmann","male","University Roma Tor Vergata","Iowa State University"
"845","The Eukaryotic Ancestor Had a Complex Ubiquitin Signaling System of Archaeal Origin","MOLECULAR BIOLOGY AND EVOLUTION","Xavier","golding","no","male","male","","Lars","Jermiin","male","University Pompeu Fabra","CSIRO"
"846","SIMR: an R package for power analysis of generalized linear mixed models by simulation","METHODS IN ECOLOGY AND EVOLUTION","Peter","griffith","no","male","male","","Shinicki","Nakagawa",NA,"Landcare Research","University of New South Wales"
"847","Simple ways to calculate stable isotope discrimination factors and convert between tissue types","METHODS IN ECOLOGY AND EVOLUTION","Amanda","guidone","no","female","female","","Carolyn","Kurle","female","University of Canterbury","University of California San Diego"
"848","Within-and among-year germination in Sonoran Desert winter annuals: bet hedging and predictive germination in a variable environment","ECOLOGY LETTERS","Jennifer","gunton","no","female","female","","John","Pannell","male","University of California Davis","University of Lausanne"
"849","Demography beyond the population","JOURNAL OF ECOLOGY","Alden","hahn","no","male","male","","David","Gibson","male","Wellesley College","Southern Illinois University"
"850","Biogeographically distinct controls on C-3 and C-4 grass distributions: merging community and physiological ecology","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Daniel","harris","no","either","either","","Bill","Shipley","either","Wake Forest University","Universite de Sherbrooke"
"851","Bottom-up regulation of malaria population dynamics in mice co-infected with lung-migratory nematodes","ECOLOGY LETTERS","Emily","havird","no","female","female","","Richard","Ostfeld","male","North Carolina State University","Cary Institute of Ecosystem Studies"
"852","A model-derived short-term estimation method of effective size for small populations with overlapping generations","METHODS IN ECOLOGY AND EVOLUTION","Annegret","hefley","no","female",NA,"behindthename.com","Olivier","Gimenez","male","Helmholz Center for Environmental Research","CNRS"
"853","Using More Than the Oldest Fossils: Dating Osmundaceae with Three Bayesian Clock Approaches","SYSTEMATIC BIOLOGY","Guido","hennion","no","male","male","","Thomas","Near","male","Swedish Museum of Natural History","Yale University"
"854","Bears benefit plants via a cascade with both antagonistic and mutualistic interactions","ECOLOGY LETTERS","Joshua","hohna","no","male","male","","Micky","Eubanks","either","Florida State University","Texas A&M University"
"855","Endemicity of chytridiomycosis features pathogen overdispersion","JOURNAL OF ANIMAL ECOLOGY","Laura","huang","no","female","female","","Andy","Fenton","either","James Cook University","University of Liverpool"
"856","Geographic range size is predicted by plant mating system","ECOLOGY LETTERS","Dena","ishikawa","no","female","female","","John","Pannell","male","University of Minnesota","University of Lausanne"
"857","Dissolved nutrient exports from natural and human-impacted Neotropical catchments","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Bjoern","jakovac","no","male",NA,"babynames.com","Xiaofeng","Xu",NA,"University Federal Sao Joao del Rei","San Diego State University"
"858","A georeferenced implementation of weighted endemism","METHODS IN ECOLOGY AND EVOLUTION","Greg","jander","yes","male","male","","Nick","Isaac","male","University of Adelaide","Centre for Ecology and Hydrology"
"859","Ecological predictors of spider sociality in the Americas","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Jennifer","jardine","no","female","female","","Alberto","Jimenez-Valverde","male","University of British Columbia","Universidad de Alcala"
"860","Wave-induced changes in seaweed toughness entail plastic modifications in snail traits maintaining consumption efficacy: Commentary on Molis etal. 2015","JOURNAL OF ECOLOGY","Michele","katz","no","either","either","","David","Gibson","male","Armstrong State University","Southern Illinois University"
"861","Is my species distribution model fit for purpose? Matching data and models to applications","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Gurutzeta","keyel","no","female",NA,"babynology","Niklaus","Zimmermann","male","University of Melbourne","Swiss Federal Research Institute"
"862","Design of occupancy studies with imperfect detection (vol 1, pg 131, 2010)","METHODS IN ECOLOGY AND EVOLUTION","G.","koch","no",NA,NA,"","",NA,NA,"",""
"863","Can trait patterns along gradients predict plant community responses to climate change?","ECOLOGY","John","kuhner","no","male","male","","Peter","Adler","male","University of Michigan","Utah State University"
"864","Differences in endophyte communities of introduced trees depend on the phylogenetic relatedness of the receiving forest","JOURNAL OF ECOLOGY","Michael","kumordzi","no","male","male","","Amy","Austin","female","Swedish University of Agricultural Sciences","University of Buenos Aires"
"865","A conceptual framework for understanding thermal constraints on ectotherm activity with implications for predicting responses to global change","ECOLOGY LETTERS","Alex","leitao","no","either","either","","Lauren","Buckley","either","San Francisco State University","University of Washington"
"866","Predicting ground temperatures across European landscapes","METHODS IN ECOLOGY AND EVOLUTION","Richard","lewis","no","male","male","","David","Orme","male","University of Leeds","Imperial College London"
"867","Predicting ground temperatures across European landscapes (vol 6, pg 532, 2015)","METHODS IN ECOLOGY AND EVOLUTION","Richard","li","no","male","male","","",NA,NA,"",""
"868","The BBSome Controls Energy Homeostasis by Mediating the Transport of the Leptin Receptor to the Plasma Membrane","PLOS GENETICS","Deng-Fu","mason","no","male",NA,"babycenter.com","Elise","Heon","female","University of Iowa","The Hospital for Sick Children"
"869","A unified approach for quantifying invasibility and degree of invasion","ECOLOGY","Qinfeng","mellin","no",NA,NA,"","Douglas","Speirs","male","USFS Eastern Forest Environmental Threat Assessment Center","University of Strathclyde"
"870","Temporal Expression Profiling Identifies Pathways Mediating Effect of Causal Variant on Phenotype","PLOS GENETICS","Saumya","merchant","no",NA,NA,"","Justin","Fay","either","Tata Institute of Fundamental Research Maharashtra","Washington University School of Medicine"
"871","What is the animal doing? Tools for exploring behavioural structure in animal movements","JOURNAL OF ANIMAL ECOLOGY","Eliezer","mirarab","no","male",NA,"babynames.com","Luca","Borger","either","University of Maryland","Swansea University"
"872","Using a dynamic forest model to predict tree species distributions","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Alvaro","mittell","no","male",NA,"babynames.com","Josep","Penuelas","male","ETH Zurich","CREAF Universitat Autonoma Barcelona"
"873","Asymmetric constraints on limits to species ranges influence consumer-resource richness over an environmental gradient","GLOBAL ECOLOGY AND BIOGEOGRAPHY","David","ogilvie","no","male","male","","Nick","Isaac","male","University Rey Juan Carlos","Centre for Ecology and Hydrology"
"874","PIPITS: an automated pipeline for analyses of fungal internal transcribed spacer sequences from the Illumina sequencing platform","METHODS IN ECOLOGY AND EVOLUTION","Hyun","ovaskainen","no",NA,NA,"","Michael","Bunce","male","Center for Ecology and Hydrology","Curtin University"
"875","Evaluating estimators of species richness: the importance of considering statistical error rates","METHODS IN ECOLOGY AND EVOLUTION","Daniel","ovaskainen","no","either","either","","Robert","O'Hara","male","Biometrics Research LLC Gainesville","Biodiversitat und Klima"
"876","Effects of individual, community, and landscape drivers on the dynamics of a wildland forest epidemic","ECOLOGY","Sarah","paine","yes","female","female","","Brian","Inouye","male","North Carolina State University","Florida State University"
"877","Plant diversity shapes microbe-rhizosphere effects on P mobilisation from organic matter in soil","ECOLOGY LETTERS","Nina","petchey","no","female","female","","Elsa","Cleland","female","University of Tubingen","University of California San Diego"
"878","The spatial scale of local adaptation in a stochastic environment","ECOLOGY LETTERS","Jarrod","piper","no","male",NA,"babynames.com","Otso","Ovaskainen","male","University of Edinburgh","University of Helsinki"
"879","Increasing the efficiency of MCMC for hierarchical phylogenetic models of categorical traits using reduced mixed models","METHODS IN ECOLOGY AND EVOLUTION","Jarrod","poldmaa","no","male",NA,"babynames.com","Robert","O'Hara","male","","Biodiversitat und Klima"
"880","Faecal cortisol metabolites to assess stress in wildlife: evaluation of a field method in free-ranging chamois","METHODS IN ECOLOGY AND EVOLUTION","Ulrike","reyer","no","female","female","","M","Gilbert",NA,"University of Veterinary Medicine Vienna",""
"881","Age-Dependent Speciation Can Explain the Shape of Empirical Phylogenies","SYSTEMATIC BIOLOGY","Oskar","reyer","no","male",NA,"babynames.com","Laura","Kubatko","female","Swiss Federal Institute of Technology","Ohio State University"
"882","Accuracy of a prey-specific DNA assay and a generic prey-immunomarking assay for detecting predation","METHODS IN ECOLOGY AND EVOLUTION","James","rovai","yes","male","male","","Sean","Rands","either","USDA ARS","University of Bristol"
"883","Ontogenetic responses of four plant species to additive and interactive effects of land-use history, canopy structure and herbivory","JOURNAL OF ECOLOGY","Philip","schroeder-georgi","no","male","male","","David","Wardle","male","University of Wisconsin Madison","Swedish University of Agricultural Sciences"
"884","Neighbor palatability generates associational effects by altering herbivore foraging behavior","ECOLOGY","Philip","scriber","no","male","male","","Brian","Inouye","male","University of Wisconsin Madison","Florida State University"
"885","Land-use history alters contemporary insect herbivore community composition and decouples plant-herbivore relationships","JOURNAL OF ANIMAL ECOLOGY","Philip","sinclair","no","male","male","","Spencer","Behmer","male","University of Wisconsin Madison","Texas A&M University"
"886","Colonization history and clonal richness of asexual Daphnia in periglacial habitats of contrasting age in West Greenland","JOURNAL OF ANIMAL ECOLOGY","Tsegazeabe","stahl","no",NA,NA,"","Stewart","Plaistow","male","Katholieke University Leuven","University of Liverpool"
"887","The Y-Chromosome Tree Bursts into Leaf: 13,000 High-Confidence SNPs Covering the Majority of Known Clades","MOLECULAR BIOLOGY AND EVOLUTION","Pille","standish","no",NA,NA,"","Sohini","Ramachandran",NA,"University of Leicester","Brown University"
"888","Long-term trends in biomass and tree demography in northern hardwoods: an integrated field and simulation study","ECOLOGICAL MONOGRAPHS","Corey","steinkamp","no","either","either","","Anthony","D'Amato","male","University of Wisconsin Madison","University of Vermont"
"889","Do animals exercise to keep fit?","JOURNAL OF ANIMAL ECOLOGY","Lewis","thorson","no","male","male","","Ian","Montgomery","male","University Roehampton","Queen's University Belfast"
"890","Evidence of local adaptation to fine- and coarse-grained environmental variability in Poa alpina in the Swiss Alps","JOURNAL OF ECOLOGY","Elena","tiemann","yes","female","female","","Stephen","Banser","male","University of Basel",""
"891","Getting the smell of it - odour cues structure pollinator networks","JOURNAL OF ANIMAL ECOLOGY","Peter","underhill","no","male","male","","Graeme","Hays","male","Stockholm University","Deakin University"
"892","Cohort variation in individual body mass dissipates with age in large herbivores","ECOLOGICAL MONOGRAPHS","S.","van wijlick","no",NA,NA,"","Arpat","Ozgul",NA,"University of Tromso","University of Zurich"
"893","Creation of a high spatio-temporal resolution global database of continuous mangrove forest cover for the 21st century (CGMFC-21)","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Stuart","veech","no","male","male","","Richard","Field","male","Salisbury University","University of Nottingham"
"894","Expanded Genetic Codes Create New Mutational Routes to Rifampicin Resistance in Escherichia coli","MOLECULAR BIOLOGY AND EVOLUTION","Michael","wood","no","male","male","","Csaba","Pal","male","University of Texas","Institute of biochemistry"
"895","Infectious disease transmission and behavioural allometry in wild mammals","JOURNAL OF ANIMAL ECOLOGY","Barbara","yun","no","female","female","","Andrew","Fenton","male","Cary Institute of Ecosystem Studies","University of Liverpool"
"896","Analysis of stable states in global savannas - a response to Staver and Hansen","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Niall","zhang","no","male","male","","Martin","Sykes","male","South Dakota State University","Lund University"
"897","An Energy-Independent Pro-longevity Function of Triacylglycerol in Yeast","PLOS GENETICS","Witawas","brooks","no",NA,NA,"","Valter","Longo","male","Michigan State University","University of Southern California"
"898","Fast, Accurate and Automatic Ancient Nucleosome and Methylation Maps with epiPALEOMIX","MOLECULAR BIOLOGY AND EVOLUTION","Kristian","daru","no","male","male","","Connie","Mulligan","either","University of Copenhagen","University of Florida"
"899","Effects of intraspecific diversity on survivorship, growth, and recruitment of the eastern oyster across sites","ECOLOGY","Torrance","dubois","no","male","male","","Sergio","Navarrete","male","Northeastern University","Pontificia Universidad Catolica de Chile"
"900","The devil is in the detail: unstable response functions in species distribution models challenge bulk ensemble modelling","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Henrik","olds","no","male","male","","Niklaus","Zimmermann","male","University of Oxford","Swiss Federal Research Institute"
"901","Latitudinal and photic effects on diel foraging and predation risk in freshwater pelagic ecosystems","JOURNAL OF ANIMAL ECOLOGY","Adam","sanz-martin","no","male","male","","DeHua","Wang",NA,"University of Washington","Chinese Academy of Sciences"
"902","Instantaneous threat escape and differentiated refuge demand among zooplankton taxa","ECOLOGY","Lars-Anders","johnson","no","male",NA,"first name alone","Carla","Caceres","female","Lund University","University of Illinois"
"903","Global fire size distribution is driven by human impact and climate","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Stijn","lee","no",NA,NA,"","Thomas","Gillespie","male","University of Alcala","Emory University"
"904","Evolutionary rescue can be impeded by temporary environmental amelioration","ECOLOGY LETTERS","Yi-Qi","bumpers","no","female",NA,"babynames.com","Tadashi","Fukami","male","University of Zurich","Stanford University"
